Family,Group
Acaridae,Arachnida
Acroloxidae,Mollusca
Adinetidae,Rotifera
Aeshnidae,Odonata
Anystidae,Arachnida
Aphididae,Hemiptera
Asellidae,Crustacea
Asplanchnidae,Rotifera
Baetidae,Ephemeroptera
Bibionidae,Diptera
Bithyniidae,Mollusca
Bosminidae,Crustacea
Brachionidae,Crustacea
Braconidae,Hymenoptera
Caenidae,Ephemeroptera
Canthocamptidae,Crustacea
Capitellidae,Annelida
Cecidomyiidae,Diptera
Ceratopogonidae,Diptera
Chaetonotidae,Gastrotricha
Chaoboridae,Diptera
Chironomidae,Diptera
Chloropidae,Diptera
Chydoridae,Crustacea
Cicadellidae,Hemiptera
Coenagrionidae,Odonata
Corixidae,Hemiptera
Crambidae,Lepidoptera
Crangonyctidae,Crustacea
Culicidae,Diptera
Cyclopidae,Crustacea
Cyprididae,Crustacea
Daphniidae,Crustacea
Dasydytidae,Gastrotricha
Diaptomidae,Crustacea
Dixidae,Diptera
Dolichopodidae,Diptera
Dytiscidae,Coleoptera
Echinostomatidae,Platyhelminthes
Enchytraeidae,Annelida
Ephydridae,Diptera
Eriophyidae,Arachnida
Erpobdellidae,Hirudinea
Eulophidae,Hymenoptera
Flosculariidae,Rotifera
Gammaridae,Crustacea
Gastropidae,Rotifera
Gerridae,Hemiptera
Glossiphoniidae,Hirudinea
Haliplidae,Coleoptera
Helicidae,Mollusca
Hydrobiidae,Mollusca
Hydrophilidae,Coleoptera
Hygrobiidae,Coleoptera
Hypogastruridae,Collembola
Hypsibiidae,Tardigrada
Isotomidae,Collembola
Lecanidae,Rotifera
Leptoceridae,Trichoptera
Libellulidae,Odonata
Limnephilidae,Trichoptera
Limnesiidae,Arachnida
Limnocytheridae,Crustacea
Lumbricidae,Annelida
Lumbriculidae,Annelida
Lymnaeidae,Mollusca
Macrobiotidae,Tardigrada
Macrotrichidae,Crustacea
Micronectidae,Hemiptera
Microstomidae,Platyhelminthes
Naididae,Annelida
Naucoridae,Hemiptera
Noteridae,Coleoptera
Notonectidae,Hemiptera
Peripsocidae,Psocoptera
Philodinidae,Rotifera
Phlaeothripidae,Thysanoptera
Physidae,Mollusca
Pionidae,Arachnida
Planorbidae,Mollusca
Plectidae,Nematoda
Pleidae,Hemiptera
Poduridae,Collembola
Polycentropodidae,Trichoptera
Proalidae,Rotifera
Proctotrupidae,Hymenoptera
Psychodidae,Diptera
Psychomyiidae,Trichoptera
Ptychopteridae,Diptera
Pyroglyphidae,Arachnida
Scarabaeidae,Coleoptera
Sciaridae,Diptera
Sciomyzidae,Coleoptera
Scirtidae,Coleoptera
Sialidae,Megaloptera
Sphaeriidae,Mollusca
Stenostomidae,Platyhelminthes
Strigeidae,Platyhelminthes
Synchaetidae,Rotifera
Syrphidae,Diptera
Tabanidae,Diptera
Tarsonemidae,Arachnida
Tateidae,Mollusca
Testudinellidae,Rotifera
Theridiosomatidae,Arachnida
Tomoceridae,Collembola
Trichocercidae,Rotifera
Tydeidae,Arachnida
Valvatidae,Mollusca
Veliidae,Hemiptera
