Family,Group
Acroloxidae,Mollusca
Aeshnidae,Odonata
Asellidae,Crustacea
Baetidae,Ephemeroptera
Chaoboridae,Diptera
Chironomidae,Diptera
Coenagrionidae,Odonata
Corixidae,Hemiptera
Crangonyctidae,Crustacea
Culicidae,Diptera
Dixidae,Diptera
Dytiscidae,Coleoptera
Erpobdellidae,Hirudinea
Gammaridae,Crustacea
Gerridae,Hemiptera
Glossiphoniidae,Hirudinea
Haliplidae,Coleoptera
Hydrophilidae,Coleoptera
Hygrobiidae,Coleoptera
Libellulidae,Odonata
Lymnaeidae,Mollusca
Micronectidae,Hemiptera
Naucoridae,Hemiptera
Noteridae,Coleoptera
Notonectidae,Hemiptera
Physidae,Mollusca
Planorbidae,Mollusca
Pleidae,Hemiptera
Polycentropodidae,Trichoptera
Psychomyiidae,Trichoptera
Ptychopteridae,Diptera
Sciomyzidae,Coleoptera
Scirtidae,Coleoptera
Sialidae,Megaloptera
Sphaeriidae,Mollusca
Tabanidae,Diptera
Tateidae,Mollusca
Valvatidae,Mollusca
Bithyniidae,Mollusca
Brachionidae,Crustacea
Canthocamptidae,Crustacea
Cyclopidae,Crustacea
Cyprididae,Crustacea
Dasydytidae,Gastrotricha
Echinostomatidae,Platyhelminthes
Hydrobiidae,Mollusca
Limnesiidae,Arachnida
Lumbricidae,Annelida
Lumbriculidae,Annelida
Macrobiotidae,Tardigrada
Macrotrichidae,Crustacea
Naididae,Annelida
Philodinidae,Rotifera
Pionidae,Arachnida
Plumatellidae,Bryozoa
Poduridae,Collembola
Psychodidae,Diptera
Strigeidae,Platyhelminthes
Syrphidae,Diptera
Testudinellidae,Rotifera
Acaridae,Arachnida
Adinetidae,Rotifera
Anystidae,Arachnida
Aphididae,Hemiptera
Asplanchnidae,Rotifera
Bibionidae,Diptera
Bosminidae,Crustacea
Braconidae,Hymenoptera
Caenidae,Ephemeroptera
Capitellidae,Annelida
Cecidomyiidae,Diptera
Ceratopogonidae,Diptera
Chaetonotidae,Gastrotricha
Chloropidae,Diptera
Chydoridae,Crustacea
Cicadellidae,Hemiptera
Crambidae,Lepidoptera
Cristatellidae,Bryozoa
Daphniidae,Crustacea
Diaptomidae,Crustacea
Dolichopodidae,Diptera
Enchytraeidae,Annelida
Ephydridae,Diptera
Eriophyidae,Arachnida
Eulophidae,Hymenoptera
Flosculariidae,Rotifera
Gastropidae,Rotifera
Helicidae,Mollusca
Hydridae,Cnidaria
Hypogastruridae,Collembola
Hypsibiidae,Tardigrada
Isotomidae,Collembola
Lecanidae,Rotifera
Leptoceridae,Trichoptera
Limnephilidae,Trichoptera
Limnocytheridae,Crustacea
Microstomidae,Platyhelminthes
Peripsocidae,Psocoptera
Phlaeothripidae,Thysanoptera
Plectidae,Nematoda
Proalidae,Rotifera
Proctotrupidae,Hymenoptera
Pyroglyphidae,Arachnida
Sciaridae,Diptera
Stenostomidae,Platyhelminthes
Synchaetidae,Rotifera
Tarsonemidae,Arachnida
Theridiosomatidae,Arachnida
Tomoceridae,Collembola
Trichocercidae,Rotifera
Tydeidae,Arachnida
Veliidae,Hemiptera
