Species,Group
Abacarus lolii,Arachnida
Acanthocyclops robustus,Crustacea
Acilius sulcatus,Coleoptera
Acroloxus lacustris,Mollusca
Aeshna cyanea,Odonata
Aeshna grandis,Odonata
Aeshna mixta,Odonata
Agabus arcticus,Coleoptera
Agabus bipustulatus,Coleoptera
Agabus sturmii,Coleoptera
Alboglossiphonia heteroclita,Hirudinea
Anacaena globulus,Coleoptera
Anacaena limbata,Coleoptera
Anax imperator,Odonata
Anopheles messeae,Diptera
Armiger crista,Mollusca
Ascomorpha ecaudis,Rotifera
Asellus aquaticus,Crustacea
Asplanchna sieboldi,Rotifera
Athripsodes aterrimus,Trichoptera
Aulodrilus pluriseta,Annelida
Bichromomyia flaviscutellata,Diptera
Bithynia tentaculata,Mollusca
Brachionus angularis,Rotifera
Brachionus calyciflorus,Rotifera
Brachionus quadridentatus,Rotifera
Brachionus urceolaris,Rotifera
Caenis horaria,Ephemeroptera
Callicorixa audeni,Hemiptera
Callicorixa praeusta,Hemiptera
Canthocamptus staphylinus,Crustacea
Cataclysta lemnata,Lepidoptera
Cecidophyes galii,Arachnida
Centroptilum luteolum,Ephemeroptera
Chaetogaster diaphanus,Annelida
Chaetogaster diastrophus,Annelida
Chaetogaster limnaei,Annelida
Chaetonotus aemilianus,Gastrotricha
Chaetonotus antrumus,Gastrotricha
Chaetonotus daphnes,Gastrotricha
Chaetonotus similis,Gastrotricha
Chironomus luridus,Diptera
Chironomus muratensis,Diptera
Chironomus nuditarsis,Diptera
Chironomus pseudothummi,Diptera
Chironomus riparius,Diptera
Chydorus brevilabris,Crustacea
Cloeon dipterum,Ephemeroptera
Coenagrion puella,Odonata
Contacyphon laevipennis,Coleoptera
Corixa affinis,Hemiptera
Corixa dentipes,Hemiptera
Corixa panzeri,Hemiptera
Corixa punctata,Hemiptera
Corynoneura carriana,Diptera
Corynoneura scutellata,Diptera
Crangonyx pseudogracilis,Crustacea
Cricotopus intersectus,Diptera
Cricotopus sylvestris,Diptera
Cristatella mucedo,Bryozoa
Culicoides alazanicus,Diptera
Culiseta annulata,Diptera
Cyclops abyssorum,Crustacea
Cyclops strenuus,Crustacea
Cymatia coleoptrata,Hemiptera
Cypridopsis vidua,Crustacea
Dactylobiotus parthenogeneticus,Tardigrada
Daphnia longispina,Crustacea
Daphnia pulex,Crustacea
Dermatophagoides pteronyssinus,Arachnida
Dero digitata,Annelida
Dero obtusa,Annelida
Dicrotendipes nervosus,Diptera
Dicrotendipes tritomus,Diptera
Dina lineata,Hirudinea
Dissotrocha macrostyla,Rotifera
Dixella aestivalis,Diptera
Eiseniella tetraedra,Annelida
Elachiptera cornuta,Diptera
Enallagma cyathigerum,Odonata
Endochironomus albipennis,Diptera
Endochironomus tendens,Diptera
Enochrus ater,Coleoptera
Enochrus bicolor,Coleoptera
Enochrus testaceus,Coleoptera
Erpobdella octoculata,Hirudinea
Erpobdella testacea,Hirudinea
Erythromma humerale,Odonata
Erythromma najas,Odonata
Erythromma viridulum,Odonata
Eubosmina coregoni,Crustacea
Eucyclops macrurus,Crustacea
Eucyclops serrulatus,Crustacea
Eucypris virens,Crustacea
Eudiaptomus gracilis,Crustacea
Floscularia melicerta,Rotifera
Fridericia perrieri,Annelida
Gammarus pulex,Crustacea
Gerris gibbifer,Hemiptera
Gerris lacustris,Hemiptera
Gerris odontogaster,Hemiptera
Glossiphonia complanata,Hirudinea
Glossiphonia concolor,Hirudinea
Graptoleberis testudinaria,Crustacea
Gyraulus albus,Mollusca
Gyraulus crista,Mollusca
Haliplus confinis,Coleoptera
Haliplus obliquus,Coleoptera
Haliplus ruficollis,Coleoptera
Haplothrips tenuipennis,Thysanoptera
Helix aspersa,Mollusca
Helobdella stagnalis,Hirudinea
Helochares lividus,Coleoptera
Helophilus hybridus,Diptera
Hesperocorixa castanea,Hemiptera
Hesperocorixa linnaei,Hemiptera
Hesperocorixa moesta,Hemiptera
Hesperocorixa sahlbergi,Hemiptera
Heterolepidoderma macrops,Gastrotricha
Hippeutis complanatus,Mollusca
Holocentropus dubius,Trichoptera
Holocentropus picicornis,Trichoptera
Hyalopterus pruni,Hemiptera
Hydaticus seminiger,Coleoptera
Hydra oligactis,Cnidaria
Hydra viridissima,Cnidaria
Hydrobius fuscipes,Coleoptera
Hydroporus angustatus,Coleoptera
Hydroporus erythrocephalus,Coleoptera
Hydroporus palustris,Coleoptera
Hygrobia hermanni,Coleoptera
Hygrotus impressopunctatus,Coleoptera
Hygrotus inaequalis,Coleoptera
Hyphydrus ovatus,Coleoptera
Ilybius ater,Coleoptera
Ilybius fenestratus,Coleoptera
Ilybius fuliginosus,Coleoptera
Ilyocoris cimicoides,Hemiptera
Ilyocryptus agilis,Crustacea
Ilyodrilus templetoni,Annelida
Ischnura elegans,Odonata
Keratella cochlearis,Rotifera
Keratella quadrata,Rotifera
Laccobius bipunctatus,Coleoptera
Laccophilus minutus,Coleoptera
Laccophilus obsoletus,Coleoptera
