Species,Acilius_sulcatus,Acroloxus_lacustris,Aeshna_cyanea,Aeshna_mixta,Agabus,Agabus_bipustulatus,Agabus_sturmii,Alboglossiphonia_heteroclita,Anacaena_limbata,Anax_imperator,Asellus_aquaticus,Callicorixa_praeusta,Chaoboridae,Chaoborus,Chironomidae,Cloeon_dipterum,Coenagrion_puella,Collembola,Corixa_affinis,Corixa_dentipes,Corixa_panzeri,Corixa_punctata,Corixidae,Crangonyx_pseudogracilis,Culicidae,Cymatia_coleoptrata,Dina_lineata,Dixa,Dixella,Dytiscidae,Enallagma_cyathigerum,Enochrus_bicolor,Enochrus_testaceus,Erpobdella_octoculata,Erpobdella_testacea,Erythromma_najas,Erythromma_viridulum,Gammarus_pulex,Gerris_lacustris,Glossiphonia_complanata,Gyraulus_crista,Haematopota,Haliplus,Haliplus_confinis,Haliplus_obliquus,Haliplus_ruficollis,Helobdella_stagnalis,Hesperocorixa,Hesperocorixa_castanea,Hesperocorixa_linnaei,Hesperocorixa_moesta,Hesperocorixa_sahlbergi,Hippeutis_complanatus,Holocentropus_dubius,Holocentropus_picicornis,Hydaticus,Hydracarina,Hydrobius_fuscipes,Hydrophilidae,Hydroporus_erythrocephalus,Hydroporus_palustris,Hygrobia_hermanni,Hygrotus_inaequalis,Hyphydrus_ovatus,Ilybius,Ilybius_fuliginosus,Ilyocoris_cimicoides,Ischnura_elegans,Laccophilus_obsoletus,Libellula_quadrimaculata,Lymnaea_stagnalis,Lymnaea_trunculata,Micronecta_scholtzi,Noterus_clavicornis,Notonecta_glauca,Notonectidae,Oligochaeta,Orthetrum_cancellatum,Physa_fontinalis,Physella_acuta,Pisidium_casertanum,Pisidium_milium,Pisidium_nitidium,Pisidium_obtusale,Pisidium_personatum,Pisidium_pseudosphaerium,Pisidium_pulchellum,Pisidium_subtruncatum,Pisidium_supinum,Planorbis_planorbis,Plea_minutissima,Potamopyrgus_antipodarum,Proasellus_meridianus,Ptychoptera,Pyrrhosoma_nymphula,Radix_peregra,Rhantus_frontalis,Rhantus_suturalis,Sciomyzidae,Scirtidae,Segmentina_nitida,Sialis_lutaria,Sigara_distincta,Sigara_dorsalis,Sigara_lateralis,Sigara_scotti,Sphaerium_corneum,Stagnicola_palustris,Suphrodytes_dorsalis,Tabanidae,Theromyzon_tessulatum,Tinodes_waeneri,Valvata_cristata,Valvata_macrostoma
CAKE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,1,0,0,0,0,9,0,0,0,0
CHIP,0,0,0,0,0,0,0,0,0,0,9,0,0,13,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
DAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDUN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0
LDUN3,0,0,0,0,0,0,0,0,0,1,11,0,0,0,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,4,2,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
POHI,0,0,0,0,0,0,0,0,0,0,47,0,0,0,53,3,3,0,0,0,0,0,0,32,0,0,0,0,1,0,6,0,0,0,5,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0
RAIL,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,83,2,9,1,0,0,2,0,0,0,0,0,0,2,0,0,19,0,0,1,0,0,0,0,0,0,0,1,0,5,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SABA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,3,0,1,2,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,11,1,0,0,0,0,2,3,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0
SKEY1,0,0,0,2,0,0,0,0,0,0,5,0,0,0,6,4,17,0,0,0,0,0,0,4,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2,7,0,0,1,0,0,9,0,0,0,0,0,0,0,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
THW16,0,0,0,0,1,0,0,0,0,0,68,2,0,0,164,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,2,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1
VALE,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WADD10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0
WADD11,0,0,1,0,0,0,0,0,0,0,11,0,0,0,175,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,6,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,65
WADD17,1,0,0,0,0,0,6,1,0,0,2,1,4,0,20,0,15,0,0,0,0,1,0,0,0,3,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,2,0,0,6,0,0,0,2,1,0,0,0,4,0,1,0,0,4,1,1,4,0,0,0,9,6,0,0,0,0,0,0,1,3,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
WADD3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
