Species,Group,Netting,DNA metabarcoding,eDNA metabarcoding
Acilius sulcatus,Coleoptera,1,1,0
Acroloxus lacustris,Mollusca,1,1,1
Aeshna cyanea,Odonata,3,4,0
Aeshna mixta,Odonata,1,0,0
Agabus bipustulatus,Coleoptera,1,1,0
Agabus sturmii,Coleoptera,1,0,0
Alboglossiphonia heteroclita,Hirudinea,2,2,1
Anacaena limbata,Coleoptera,1,1,0
Anax imperator,Odonata,1,0,0
Asellus aquaticus,Crustacea,8,12,5
Callicorixa praeusta,Hemiptera,3,0,0
Cloeon dipterum,Ephemeroptera,4,5,14
Coenagrion puella,Odonata,10,16,8
Corixa affinis,Hemiptera,1,0,0
Corixa dentipes,Hemiptera,1,0,0
Corixa panzeri,Hemiptera,1,0,0
Corixa punctata,Hemiptera,5,5,0
Crangonyx pseudogracilis,Crustacea,3,4,2
Cymatia coleoptrata,Hemiptera,1,1,0
Dina lineata,Hirudinea,1,0,0
Enallagma cyathigerum,Odonata,10,4,0
Enochrus bicolor,Coleoptera,1,1,0
Enochrus testaceus,Coleoptera,1,2,0
Erpobdella octoculata,Hirudinea,1,4,0
Erpobdella testacea,Hirudinea,2,1,0
Erythromma najas,Odonata,3,1,0
Erythromma viridulum,Odonata,1,0,0
Gammarus pulex,Crustacea,1,1,0
Gerris lacustris,Hemiptera,2,1,0
Glossiphonia complanata,Hirudinea,5,8,0
Gyraulus crista,Mollusca,1,0,0
Haliplus confinis,Coleoptera,2,0,0
Haliplus obliquus,Coleoptera,1,1,0
Haliplus ruficollis,Coleoptera,7,0,0
Helobdella stagnalis,Hirudinea,7,9,2
Hesperocorixa castanea,Hemiptera,1,0,0
Hesperocorixa linnaei,Hemiptera,4,6,0
Hesperocorixa moesta,Hemiptera,1,0,0
Hesperocorixa sahlbergi,Hemiptera,4,9,1
Hippeutis complanatus,Mollusca,2,2,2
Holocentropus dubius,Trichoptera,1,1,0
Holocentropus picicornis,Trichoptera,1,1,0
Hydrobius fuscipes,Coleoptera,3,2,0
Hydroporus erythrocephalus,Coleoptera,1,0,0
Hydroporus palustris,Coleoptera,1,4,0
Hygrobia hermanni,Coleoptera,2,2,0
Hygrotus inaequalis,Coleoptera,7,4,0
Hyphydrus ovatus,Coleoptera,8,6,1
Ilybius fuliginosus,Coleoptera,5,3,0
Ilyocoris cimicoides,Hemiptera,6,7,0
Ischnura elegans,Odonata,8,6,5
Laccophilus obsoletus,Coleoptera,2,0,0
Libellula quadrimaculata,Odonata,4,4,3
Lymnaea stagnalis,Mollusca,1,2,3
Lymnaea trunculata,Mollusca,1,0,0
Micronecta scholtzi,Hemiptera,1,0,0
Noterus clavicornis,Coleoptera,6,5,0
Notonecta glauca,Hemiptera,12,16,0
Orthetrum cancellatum,Odonata,1,0,0
Physa fontinalis,Mollusca,1,1,1
Physella acuta,Mollusca,1,1,0
Pisidium casertanum,Mollusca,5,0,0
Pisidium milium,Mollusca,2,0,0
Pisidium nitidium,Mollusca,1,0,0
Pisidium obtusale,Mollusca,1,3,0
Pisidium personatum,Mollusca,3,0,0
Pisidium pseudosphaerium,Mollusca,1,0,0
Pisidium pulchellum,Mollusca,1,0,0
Pisidium subtruncatum,Mollusca,1,4,0
Pisidium supinum,Mollusca,1,0,0
Planorbis planorbis,Mollusca,2,0,0
Plea minutissima,Hemiptera,2,0,0
Potamopyrgus antipodarum,Mollusca,1,2,1
Proasellus meridianus,Crustacea,3,2,1
Pyrrhosoma nymphula,Odonata,5,6,0
Radix peregra,Mollusca,9,0,0
Rhantus frontalis,Coleoptera,1,0,0
Rhantus suturalis,Coleoptera,2,5,0
Segmentina nitida,Mollusca,1,0,0
Sialis lutaria,Megaloptera,5,5,0
Sigara distincta,Hemiptera,1,0,0
Sigara dorsalis,Hemiptera,1,0,0
Sigara lateralis,Hemiptera,1,0,0
Sigara scotti,Hemiptera,1,0,0
Sphaerium corneum,Mollusca,3,0,0
Stagnicola palustris,Mollusca,1,0,0
Suphrodytes dorsalis,Coleoptera,1,2,0
Theromyzon tessulatum,Hirudinea,4,5,0
Tinodes waeneri,Trichoptera,1,1,0
Valvata cristata,Mollusca,2,2,1
Valvata macrostoma,Mollusca,2,0,0
Aeshna grandis,Odonata,0,1,0
Agabus arcticus,Coleoptera,0,4,0
Armiger crista,Mollusca,0,1,4
Aulodrilus pluriseta,Annelida,0,2,0
Bichromomyia flaviscutellata,Diptera,0,1,0
Bithynia tentaculata,Mollusca,0,1,0
Callicorixa audeni,Hemiptera,0,4,0
Centroptilum luteolum,Ephemeroptera,0,1,0
Chaetogaster diastrophus,Annelida,0,4,14
Chaetogaster limnaei,Annelida,0,5,4
Chironomus luridus,Diptera,0,12,8
Chironomus muratensis,Diptera,0,3,0
Chironomus nuditarsis,Diptera,0,3,2
Chironomus pseudothummi,Diptera,0,2,2
Chironomus riparius,Diptera,0,5,1
Contacyphon laevipennis,Coleoptera,0,2,1
Cricotopus intersectus,Diptera,0,1,1
Cricotopus sylvestris,Diptera,0,3,0
Culiseta annulata,Diptera,0,1,1
Cypridopsis vidua,Crustacea,0,1,8
Dactylobiotus parthenogeneticus,Tardigrada,0,1,4
Dero digitata,Annelida,0,1,1
Dero obtusa,Annelida,0,4,6
Dixella aestivalis,Diptera,0,3,6
Eiseniella tetraedra,Annelida,0,1,4
Endochironomus albipennis,Diptera,0,1,1
Endochironomus tendens,Diptera,0,4,4
Enochrus ater,Coleoptera,0,1,1
Erythromma humerale,Odonata,0,1,0
Gerris gibbifer,Hemiptera,0,1,1
Gerris odontogaster,Hemiptera,0,2,3
Glossiphonia concolor,Hirudinea,0,2,0
Helochares lividus,Coleoptera,0,2,0
Hydaticus seminiger,Coleoptera,0,1,0
Hydroporus angustatus,Coleoptera,0,1,0
Hygrotus impressopunctatus,Coleoptera,0,1,0
Ilybius ater,Coleoptera,0,1,0
Ilybius fenestratus,Coleoptera,0,4,1
Ilyodrilus templetoni,Annelida,0,1,0
Keratella cochlearis,Rotifera,0,1,12
Keratella quadrata,Rotifera,0,1,5
Laccobius bipunctatus,Coleoptera,0,1,0
Laccophilus minutus,Coleoptera,0,3,0
Ladona depressa,Odonata,0,1,0
Limnodrilus claparedianus,Annelida,0,2,0
Limnodrilus hoffmeisteri,Annelida,0,1,3
Lumbriculus variegatus,Annelida,0,3,4
Macrocyclops albidus,Crustacea,0,1,11
Micropsectra contracta,Diptera,0,1,0
Musculium lacustre,Mollusca,0,4,1
Mytilina ventralis,Rotifera,0,1,8
Nais communis,Annelida,0,1,6
Nais elinguis,Annelida,0,1,1
Nais variabilis,Annelida,0,2,8
Notonecta viridis,Hemiptera,0,3,0
Ophidonais serpentina,Annelida,0,3,2
Parachironomus major,Diptera,0,3,0
Parachironomus monochromus,Diptera,0,1,2
Paratanytarsus laetipes,Diptera,0,1,1
Philodina megalotrocha,Rotifera,0,2,7
Piona variabilis,Arachnida,0,2,0
Pisidium nitidum,Mollusca,0,2,2
Plumatella fungosa,Bryozoa,0,3,5
Podura aquatica,Collembola,0,1,5
Polypedilum cultellatum,Diptera,0,2,3
Polypedilum nubeculosum,Diptera,0,3,0
Pristina jenkinae,Annelida,0,2,0
Pristina longiseta,Annelida,0,3,2
Psectrocladius schlienzi,Diptera,0,1,0
Ptychoptera albimana,Diptera,0,2,0
Ptychoptera contaminata,Diptera,0,3,0
Ptychoptera minuta,Diptera,0,1,0
Radix auricularia,Mollusca,0,3,1
Radix balthica,Mollusca,0,8,2
Rotaria magnacalcarata,Rotifera,0,1,1
Rotaria rotatoria,Rotifera,0,3,16
Sphaerium nucleus,Mollusca,0,1,0
Stylaria lacustris,Annelida,0,2,6
Stylochaeta scirtetica,Gastrotricha,0,2,6
Suphrodytes figuratus,Coleoptera,0,1,0
Sympetrum striolatum,Odonata,0,3,1
Tanytarsus ejuncidus,Diptera,0,1,0
Tanytarsus occultus,Diptera,0,1,1
Tanytarsus pallidicornis,Diptera,0,1,0
Testudinella caeca,Rotifera,0,1,0
Tetanocera ferruginea,Diptera,0,1,0
Tubifex tubifex,Annelida,0,4,1
Valvata piscinalis,Mollusca,0,1,0
Abacarus lolii,Arachnida,0,0,2
Acanthocyclops robustus,Crustacea,0,0,8
Anacaena globulus,Coleoptera,0,0,1
Anopheles messeae,Diptera,0,0,3
