Site,Crucian,Date,Conductivity,Depth,Area,perc_perimeter_emergent,perc_emergent_cover,perc_sub_macrophyte,perc_shading
CAKE,Y,26/07/2012,709,120,500,25,10,30,10
CHIP,Y,10/07/2011,760,114,500,10,3,85,10
DAN,Y,13/09/2018,812,250,3644,0,20,5,0
LDUN2,N,21/05/2015,415,100,500,40,10,80,5
LDUN3,N,21/05/2015,587,80,400,80,45,75,2
POHI,Y,30/06/2016,542,75,2750,10,5,70,10
RAIL,Y,20/06/2014,400,111,700,2,1,95,20
SABA,N,20/07/2017,347,160,500,15,5,95,5
SKEY1,Y,03/07/2016,225,120,600,20,15,95,5
THW16,Y,13/09/2018,717,175,8223,60,10,5,10
VALE,N,09/08/2014,131,90,400,55,25,65,15
WADD10,N,04/07/2013,545,127,670,30,5,90,15
WADD11,N,05/05/2013,590,120,420,10,3,95,5
WADD17,N,05/05/2013,367,127,1250,75,15,80,5
WADD3,Y,08/07/2013,311,167,290,35,20,60,5
WHALL,Y,13/09/2018,554,460,4399,80,20,5,20
WOOD,N,22/06/2010,397,148,800,35,20,65,10
WRONG,N,22/07/2017,385,120,700,5,2,100,5
