"Sample","Abacarus","Acanthocyclops robustus","Acroloxus lacustris","Acroperus","Adineta","Adineta vaga","Alboglossiphonia heteroclita","Alona","Anacaena globulus","Anopheles","Anopheles messeae","Anystidae","Armiger crista","Ascomorpha ecaudis","Asellus aquaticus","Asplanchna sieboldi","Athripsodes aterrimus","Bibionidae","Brachionus","Brachionus angularis","Brachionus calyciflorus","Brachionus quadridentatus","Brachionus urceolaris","Caenis horaria","Campsicnemus","Canthocamptidae","Canthocamptus staphylinus","Cataclysta lemnata","Cavariella","Cecidomyiidae","Cecidophyes galii","Ceratopogonidae","Chaetogaster","Chaetogaster diaphanus","Chaetogaster diastrophus","Chaetogaster limnaei","Chaetonotus","Chaitophorus","Chaoborus","Chironomidae","Chironomus","Chironomus luridus","Chironomus nuditarsis","Chironomus pseudothummi","Chironomus riparius","Chydorus","Cloeon dipterum","Coenagrion","Coenagrion puella","Contacyphon laevipennis","Corynoneura","Corynoneura carriana","Corynoneura scutellata","Crangonyx pseudogracilis","Cricotopus","Cricotopus intersectus","Culex","Culicidae","Culicoides alazanicus","Culiseta annulata","Cyclopidae","Cyclops abyssorum","Cyclops strenuus","Cypridopsis vidua","Dactylobiotus parthenogeneticus","Daphnia","Daphnia longispina","Daphnia pulex","Dasybranchus","Dermatophagoides pteronyssinus","Dero","Dero digitata","Dero obtusa","Dicrotendipes","Dicrotendipes nervosus","Dicrotendipes tritomus","Dissotrocha macrostyla","Dixella aestivalis","Einfeldia","Eiseniella tetraedra","Elachiptera cornuta","Endochironomus albipennis","Endochironomus tendens","Enochrus","Entomobryidae","Ephydridae","Eubosmina coregoni","Eucyclops","Eucyclops macrurus","Eucyclops serrulatus","Eucypris virens","Eudiaptomus gracilis","Eulophidae","Floscularia melicerta","Fridericia perrieri","Gerris gibbifer","Gerris odontogaster","Graptoleberis testudinaria","Gyraulus","Gyraulus albus","Haemopis","Haliplus","Haplothrips","Helix aspersa","Helobdella stagnalis","Helophilus hybridus","Hesperocorixa sahlbergi","Heterolepidoderma","Hippeutis complanatus","Hyalopterus pruni","Hyphydrus ovatus","Hypsibius","Ilybius fenestratus","Ilyocryptus agilis","Ischnura elegans","Isotomurus","Keratella","Keratella cochlearis","Keratella quadrata","Krenopelopia","Lecane","Lecane closterocerca","Lepidochaetus zelinkai","Lepidocyrtus cyaneus","Lepidodermella squamata","Libellula quadrimaculata","Limnephilus marmoratus","Limnocythere inopinata","Limnodrilus hoffmeisteri","Limnophyes","Limoniidae","Lucilia sericata","Lumbriculus variegatus","Lymnaea stagnalis","Macrocyclops albidus","Macrothrix","Megacyclops viridis","Metriocnemus albolineatus","Microstomum lineare","Microtendipes","Microvelia reticulata","Musculium lacustre","Mystacides longicornis","Mytilina mucronata","Mytilina ventralis","Naididae","Nais","Nais christinae","Nais communis","Nais elinguis","Nais variabilis","Ophidonais serpentina","Orthocladius smolandicus","Parachironomus","Parachironomus monochromus","Paraphaenocladius impensus","Paratanytarsus","Paratanytarsus dissimilis","Paratanytarsus laetipes","Paratanytarsus lauterborni","Peripsocus subfasciatus","Philodina citrina","Philodina megalotrocha","Physa fontinalis","Pionidae","Pisidium nitidum","Planorbidae","Planorbis planorbis","Platyias quadricornis","Plectus aquatilis","Pleuroxus denticulatus","Podura aquatica","Polyarthra","Polyarthra dolichoptera","Polymerurus rhomboides","Polypedilum","Polypedilum cultellatum","Potamopyrgus antipodarum","Praon","Pristina","Pristina aequiseta","Pristina longiseta","Proales daphnicola","Proales fallaciosa","Proasellus meridianus","Procladius","Proctotrupes bistriatus","Psectrocladius","Psychoda lativentris","Radix auricularia","Radix balthica","Rhopalosiphum","Ribautiana debilis","Rotaria","Rotaria macrura","Rotaria magnacalcarata","Rotaria neptunia","Rotaria neptunoida","Rotaria rotatoria","Scapholeberis mucronata","Scarabaeidae","Sciaridae","Sigara venusta","Simocephalus exspinosus","Simocephalus vetulus","Smittia","Stagnicola","Stempellina bausei","Stenostomum","Stylaria lacustris","Stylochaeta","Sympetrum","Sympetrum striolatum","Synchaeta","Synchaeta pectinata","Tanytarsus","Tanytarsus occultus","Tanytarsus pallidicornis","Tarsonemidae","Testudinella patina","Theridiosoma gemmosum","Thrips","Thrips tabaci","Tomocerus","Triaenodes bicolor","Trichocerca similis","Tubifex tubifex","Tydeidae","Tyrophagus putrescentiae","Valvata cristata","Xenylla"
"CAKE",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,381,12,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,208,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6401,16535,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"CHIP",0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,60,3,284,0,0,10,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,42632,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,75,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,19,26,0,0,0,0,0,0,0,0,0,34,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0
"DAN",7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,359,0,0,72,0,0,0,0,450,0,0,0,0,0,95,88,0,0,0,0,0,0,0,35,0,0,0,0,0,15261,0,0,5940,0,4870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,184,1415,0,829,0,0,0,0,0,0,0,593,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3732,0,0,469,44,0,16,0,0,0,62,0,3,0,0,121,0,0,0,0,10,3,0,0,3,0,0,0,0,31,32,10,0,410,0,0,0,0,3020,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,6,0,459,20,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,78,0,0,110,0,0,0,0,0,0,0,0,24,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDUN2",0,0,0,0,0,0,0,0,0,0,0,0,0,99,6,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077,0,51,0,0,11256,0,0,0,0,0,0,927,0,3,0,0,0,18,0,99,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,330,0,0,0,0,182,0,94,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,327,0,0,0,0,17,99,0,0,0,0,0,0,0,0,0,14,298,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,296,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDUN3",0,269,0,0,0,0,0,0,0,0,0,0,0,212,0,18,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,256,0,0,944,0,0,0,248,282,1746,3881,0,124,0,133,4345,8,3759,0,0,0,0,0,4,0,0,0,0,0,0,0,2037,0,0,0,0,0,33,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4002,0,213,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,761,0,0,0,11,0,0,0,0,0,0,0,202,0,0,0,4,0,64,0,0,0,0,0,5,0,181,0,0,1543,0,74,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,26,0,0,0,10,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POHI",0,139,0,0,0,0,0,0,0,14,85,0,0,0,42,0,0,0,9,0,60,14,0,0,0,0,0,0,0,35,0,195,0,0,192,0,33,0,0,2096,6703,0,0,0,0,0,188,0,0,0,155,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238,84,0,590,0,988,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,3,0,13,0,0,0,0,14,0,0,4676,34,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,74,140,0,0,0,10,27,0,17,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,6335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAIL",0,2441,0,0,6,0,0,0,0,0,0,0,0,25,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,16,0,0,0,0,0,232,57,9,1832,0,0,0,0,0,0,0,0,0,34,0,0,0,433,1196,0,0,0,0,0,0,127,0,45,0,0,0,0,0,0,8,0,0,0,0,0,0,0,696,0,635,0,0,0,33,0,0,0,524,0,0,0,0,10,0,0,0,0,43,0,0,9,0,1992,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,0,899,278,0,0,0,0,0,0,0,921,10,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,39,0,0,21,0,181,0,0,0,0,16,12,0,0,0,0,5,3657,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SABA",0,0,0,0,0,0,0,0,0,0,0,0,959,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,440,8,50,0,148,149,10,562,0,0,0,331,5099,7,255,0,0,0,0,84,45,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,0,3373,0,0,0,0,45,0,0,44,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,195,0,0,671,99,0,0,6,0,0,0,266,0,0,0,0,0,0,0,0,1416,234,0,0,0,0,0,0,0,456,71,0,18,0,0,0,34,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,7,0,0,16,0,0,150,200,0,0,0,0,0,0,0,0,142,0,18,0,5,0,0,0,7,0,0,0,0,286,0,0,0,0,0,394,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,666,0,0,0,0,0,0
"SKEY1",9,6017,0,0,0,0,0,171,0,0,0,0,0,960,0,30,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,597,1724,8300,65,253,0,6854,624,5,3,0,0,0,12274,26560,31,2013,0,0,0,0,0,7892,0,0,0,0,0,64090,0,0,4206,33,0,0,0,287,0,18,3,195,0,0,4,15,12,0,4,0,0,3,0,0,0,0,477,0,116,0,0,3,27,0,0,0,330,0,0,0,0,145,0,0,0,0,26,0,0,0,116,0,0,0,692,0,9624,0,0,0,593,50,0,8,25036,0,0,14,2677,0,0,0,1108,0,1533,0,14,0,17,1163,0,0,40,464,258,34,43,0,656,0,0,1032,0,0,0,0,0,0,0,0,15,255,0,0,0,0,0,22,231,0,0,0,261,0,1325,874,0,0,0,0,24816,0,196,0,0,0,0,0,0,36,3,0,519,39,0,0,0,208,0,0,0,3,0,9,9,0,0,20,118,423,16,58,6,0,6480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THW16",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,187,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VALE",0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,9,0,0,0,0,110,0,52,0,0,11,5,8,0,6,0,373,24,0,0,123,126,0,505,0,0,0,0,0,0,0,320,0,0,285,0,0,0,0,116,0,230,0,45,0,0,0,0,0,0,0,0,0,0,10,0,0,0,58,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566,0,23,0,0,0,0,0,0,0,0,0,165,0,0,117,0,5,127,0,0,0,0,0,0,0,0,0,115,14,0,29,0,3,488,0,0,0,54,0,0,0,0,0,0,12,0,0,0,0,0,0,24,0,109,0,59,0,69,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,87,38,362,56,0,0,0,0,40,35,0,0,0,0,10544,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
"WADD10",0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,858,0,6,0,10,5680,4,177,0,0,0,135,686,5,1010,0,8,29,78,0,78,0,0,3,0,0,3407,0,108,653,0,0,3,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,45,0,647,0,0,0,0,0,0,0,244,0,0,0,0,4,0,0,0,0,22,11,0,0,0,0,0,0,22,0,820,0,0,0,13,0,0,0,0,0,0,0,136,0,0,20,0,131,2693,0,0,10,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,0,0,106,0,0,21,0,0,0,0,0,59,0,0,0,115,7,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,43,0,0,0,0,10,3,0,0,0,122,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADD11",0,0,0,91,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,18,0,55,0,0,8,0,0,0,0,0,3,25,0,0,0,0,0,0,0,3,0,0,7,0,0,514,0,120,0,41,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,32,63,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,661,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,32,0,0,0,19,9,0,0,0,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
