"Sample","Acaridae","Acroloxidae","Adinetidae","Anystidae","Aphididae","Asellidae","Asplanchnidae","Baetidae","Bibionidae","Bosminidae","Brachionidae","Braconidae","Caenidae","Calliphoridae","Canthocamptidae","Capitellidae","Cecidomyiidae","Ceratopogonidae","Chaetonotidae","Chaoboridae","Chironomidae","Chloropidae","Chydoridae","Cicadellidae","Coenagrionidae","Corixidae","Crambidae","Crangonyctidae","Cristatellidae","Culicidae","Cyclopidae","Cyprididae","Daphniidae","Dasydytidae","Diaptomidae","Dixidae","Dolichopodidae","Dytiscidae","Enchytraeidae","Entomobryidae","Ephydridae","Eriophyidae","Eulophidae","Flosculariidae","Gastropidae","Gerridae","Glossiphoniidae","Haemopidae","Haliplidae","Helicidae","Hydridae","Hydrobiidae","Hydrophilidae","Hypogastruridae","Hypsibiidae","Isotomidae","Lecanidae","Leptoceridae","Libellulidae","Limnephilidae","Limnocytheridae","Limoniidae","Lumbricidae","Lumbriculidae","Lymnaeidae","Macrobiotidae","Macrotrichidae","Microstomidae","Naididae","Peripsocidae","Philodinidae","Phlaeothripidae","Physidae","Pionidae","Planorbidae","Plectidae","Plumatellidae","Poduridae","Proalidae","Proctotrupidae","Psychodidae","Pyroglyphidae","Sciaridae","Scirtidae","Sphaeriidae","Stenostomidae","Synchaetidae","Syrphidae","Tarsonemidae","Testudinellidae","Theridiosomatidae","Thripidae","Tomoceridae","Trichocercidae","Tydeidae","Valvatidae","Veliidae"
"CAKE",0,0,0,4,0,0,0,0,0,0,23591,0,0,0,0,0,0,0,0,0,106,0,74,0,0,0,0,0,0,0,213,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,162,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"CHIP",0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,360,0,179,0,0,3,0,0,0,0,48298,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,94,0,9,13,0,0,0,0,0,0,127,0,0,0,9,0,0,0,34,0,10,0,0,0,0,0,0,0,0
"DAN",0,0,0,0,0,0,3,88,0,0,576,0,0,0,4,0,0,359,62,0,3626,0,101,0,3732,0,0,0,36,0,16914,5940,4980,0,829,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,49,13,0,0,0,0,16,0,0,3,0,0,0,0,0,0,3,3,492,0,31,6,0,0,593,0,0,0,0,0,0,0,78,0,0,0,604,0,0,0,0,0,0,0,0,0,0
"LDUN2",0,0,0,0,0,6,0,927,0,0,0,0,0,0,0,0,0,0,64,0,12919,0,0,0,7,0,0,0,0,0,296,0,0,0,0,347,0,0,0,0,0,0,0,0,99,121,0,0,0,0,57,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,99,0,2396,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,109,296,0,0,0,0,0,0,0,0,0,0
"LDUN3",0,0,0,0,0,0,18,4345,0,0,942,0,0,0,0,33,0,256,50,248,6239,0,133,0,3767,0,0,0,0,0,6521,0,26,0,0,20,27,0,0,0,0,0,0,0,212,0,0,0,3,0,2009,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,64,0,3529,0,92,0,0,0,0,189,0,0,0,0,0,6,0,0,5,10,23,0,0,0,0,0,0,0,0,0,0
"POHI",0,0,0,0,13,42,0,188,0,4238,4872,0,0,0,0,0,35,195,36,0,9972,0,0,0,14,0,0,0,0,99,887,0,6476,0,988,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5831,0,0,0,0,0,0,17,0,0,12,0,0,0,0,0,140,0,192,0,25,20,0,0,0,0,189,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"RAIL",0,0,6,0,0,6,31,57,0,0,931,0,0,0,0,0,0,34,400,0,432,0,756,0,1841,0,0,0,0,0,5104,1196,28,3657,0,0,0,2001,0,0,0,0,0,33,25,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,278,0,177,20,241,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"SABA",0,0,0,0,0,0,0,5099,0,0,1297,0,0,0,0,0,0,0,124,148,1276,0,375,0,457,0,0,84,0,0,6675,0,394,7,0,0,0,0,45,0,0,15,0,0,140,0,0,0,0,0,166,0,0,0,0,0,6,666,266,0,0,0,0,0,5,0,234,0,527,0,328,0,0,0,959,7,0,0,0,0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0
"SKEY1",0,0,0,0,3,0,30,26560,0,0,10188,0,0,0,0,287,0,0,337,6854,20959,0,12775,0,2044,3,0,0,0,0,70700,4206,9,423,0,12,0,0,0,0,0,9,3,27,960,0,0,0,0,0,1050,0,0,0,116,692,593,0,25110,0,0,0,4,0,1144,33,1533,0,36841,0,1051,145,0,0,0,231,0,0,196,0,0,0,0,0,0,20,267,0,0,0,0,0,0,0,0,0,1163
"THW16",0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,8,0,18,0,3,0,0,0,0,0,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,65,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0
"VALE",0,0,0,0,0,0,0,24,0,0,1566,0,0,0,60,116,9,0,52,0,1007,0,373,0,0,0,0,0,0,0,457,285,96,10544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,10,0,0,0,0,0,0,0,0,0,0,117,0,0,127,0,1034,0,499,0,0,0,9,24,0,109,0,0,66,0,0,123,0,0,59,0,0,0,0,0,55,0,0,0,0
"WADD10",0,0,0,0,7,0,0,686,0,0,824,0,0,0,0,0,0,0,28,10,6508,0,379,0,1015,0,0,0,0,3,4338,653,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4273,0,0,0,0,22,13,0,0,0,0,0,0,20,3,0,2693,10,894,0,149,4,0,0,14,0,3,59,0,0,0,0,0,0,21,122,0,0,0,0,0,0,0,0,0,0,0
"WADD11",0,0,0,0,0,0,0,25,0,0,0,0,244,0,0,0,0,0,55,0,697,19,108,0,0,0,0,0,0,7,688,0,32,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,63,0,447,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,122,0,0,0,0,0,0,0,0,0,0
