Family,Group,Netting,DNA metabarcoding,eDNA metabarcoding
Acroloxidae,Mollusca,1,1,1
Aeshnidae,Odonata,5,5,0
Asellidae,Crustacea,10,12,6
Baetidae,Ephemeroptera,4,5,14
Chaoboridae,Diptera,3,1,5
Chironomidae,Diptera,16,18,18
Coenagrionidae,Odonata,15,16,11
Corixidae,Hemiptera,13,15,2
Crangonyctidae,Crustacea,3,4,2
Culicidae,Diptera,3,4,6
Dixidae,Diptera,4,3,6
Dytiscidae,Coleoptera,17,16,1
Erpobdellidae,Hirudinea,3,5,0
Gammaridae,Crustacea,1,1,0
Gerridae,Hemiptera,2,2,4
Glossiphoniidae,Hirudinea,10,13,2
Haliplidae,Coleoptera,11,10,1
Hydrophilidae,Coleoptera,4,4,2
Hygrobiidae,Coleoptera,2,2,0
Libellulidae,Odonata,5,6,3
Lymnaeidae,Mollusca,10,11,6
Micronectidae,Hemiptera,1,0,0
Naucoridae,Hemiptera,6,7,0
Noteridae,Coleoptera,6,5,0
Notonectidae,Hemiptera,12,16,0
Physidae,Mollusca,2,2,1
Planorbidae,Mollusca,6,5,7
Pleidae,Hemiptera,2,0,0
Polycentropodidae,Trichoptera,2,2,0
Psychomyiidae,Trichoptera,1,1,0
Ptychopteridae,Diptera,3,5,0
Sciomyzidae,Coleoptera,1,1,0
Scirtidae,Coleoptera,1,2,1
Sialidae,Megaloptera,5,5,0
Sphaeriidae,Mollusca,8,6,3
Tabanidae,Diptera,1,2,0
Tateidae,Mollusca,1,0,0
Valvatidae,Mollusca,4,4,1
Bithyniidae,Mollusca,0,1,0
Brachionidae,Crustacea,0,3,15
Canthocamptidae,Crustacea,0,1,3
Cyclopidae,Crustacea,0,3,18
Cyprididae,Crustacea,0,1,8
Dasydytidae,Gastrotricha,0,2,6
Echinostomatidae,Platyhelminthes,0,1,0
Hydrobiidae,Mollusca,0,2,1
Limnesiidae,Arachnida,0,4,0
Lumbricidae,Annelida,0,1,4
Lumbriculidae,Annelida,0,3,4
Macrobiotidae,Tardigrada,0,1,4
Macrotrichidae,Crustacea,0,1,17
Naididae,Annelida,0,17,16
Philodinidae,Rotifera,0,5,17
Pionidae,Arachnida,0,3,1
Plumatellidae,Bryozoa,0,3,5
Poduridae,Collembola,0,1,5
Psychodidae,Diptera,0,1,1
Strigeidae,Platyhelminthes,0,3,0
Syrphidae,Diptera,0,1,1
Testudinellidae,Rotifera,0,1,1
Acaridae,Arachnida,0,0,1
Adinetidae,Rotifera,0,0,2
Anystidae,Arachnida,0,0,1
Aphididae,Hemiptera,0,0,5
Asplanchnidae,Rotifera,0,0,6
Bibionidae,Diptera,0,0,1
Bosminidae,Crustacea,0,0,1
Braconidae,Hymenoptera,0,0,1
Caenidae,Ephemeroptera,0,0,2
Capitellidae,Annelida,0,0,5
Cecidomyiidae,Diptera,0,0,2
Ceratopogonidae,Diptera,0,0,7
Chaetonotidae,Gastrotricha,0,0,16
Chloropidae,Diptera,0,0,1
Chydoridae,Crustacea,0,0,15
Cicadellidae,Hemiptera,0,0,1
Crambidae,Lepidoptera,0,0,1
Cristatellidae,Bryozoa,0,0,1
Daphniidae,Crustacea,0,0,14
Diaptomidae,Crustacea,0,0,4
Dolichopodidae,Diptera,0,0,1
Enchytraeidae,Annelida,0,0,1
Ephydridae,Diptera,0,0,1
Eriophyidae,Arachnida,0,0,3
Eulophidae,Hymenoptera,0,0,1
Flosculariidae,Rotifera,0,0,2
Gastropidae,Rotifera,0,0,8
Helicidae,Mollusca,0,0,1
Hydridae,Cnidaria,0,0,13
Hypogastruridae,Collembola,0,0,1
Hypsibiidae,Tardigrada,0,0,1
Isotomidae,Collembola,0,0,3
Lecanidae,Rotifera,0,0,7
Leptoceridae,Trichoptera,0,0,3
Limnephilidae,Trichoptera,0,0,1
Limnocytheridae,Crustacea,0,0,1
Microstomidae,Platyhelminthes,0,0,4
Peripsocidae,Psocoptera,0,0,2
Phlaeothripidae,Thysanoptera,0,0,8
Plectidae,Nematoda,0,0,5
Proalidae,Rotifera,0,0,2
Proctotrupidae,Hymenoptera,0,0,1
Pyroglyphidae,Arachnida,0,0,1
Sciaridae,Diptera,0,0,3
Stenostomidae,Platyhelminthes,0,0,8
Synchaetidae,Rotifera,0,0,16
Tarsonemidae,Arachnida,0,0,1
Theridiosomatidae,Arachnida,0,0,1
Tomoceridae,Collembola,0,0,1
Trichocercidae,Rotifera,0,0,1
Tydeidae,Arachnida,0,0,1
Veliidae,Hemiptera,0,0,3
