sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
CAKE-L-01,36514,6640,20,6620,20,0.97,70,3,34,6578
CAKE-L-02,155656,39820,6836,32984,6814,0.97,172,3,92,35920
CAKE-L-03,49508,9476,42,9434,42,0.97,96,3,52,9378
CAKE-M-01,96730,18348,3334,15014,3334,0.97,126,3,61,16124
CAKE-M-02,167434,42751,8216,34535,8212,0.97,200,3,104,37846
CAKE-M-03,40616,6350,558,5792,558,0.97,81,3,34,5892
CAKE-S-01,73996,16072,3634,12438,3630,0.97,186,3,73,13555
CAKE-S-02,172890,49060,9084,39976,9082,0.97,397,3,149,43576
CAKE-S-03,42280,5686,48,5638,48,0.97,99,3,38,5533
CAKE-SO-01,49768,7023,286,6737,286,0.97,113,3,42,6691
CAKE-SO-02,142026,41589,7964,33625,7964,0.97,260,3,117,36862
CAKE-SO-03,79948,21835,3904,17931,3904,0.97,199,3,76,19426
CAKE-UN-01,115514,34079,8416,25663,8414,0.97,274,3,127,29102
CAKE-UN-02,138162,30458,2370,28088,2370,0.97,238,3,99,28790
CAKE-UN-03,94220,27690,5716,21974,5716,0.97,231,3,100,24311
CHIP-L-01,46728,12204,912,11292,912,0.97,83,3,21,11612
CHIP-L-02,139098,48529,18136,30393,18122,0.97,136,3,64,38276
CHIP-L-03,77724,21031,704,20327,704,0.97,130,3,62,20551
CHIP-M-01,84140,19267,3726,15541,3724,0.97,77,3,46,16941
CHIP-M-02,162664,45520,6954,38566,6950,0.97,97,3,42,41619
CHIP-M-03,84292,17868,1764,16104,1764,0.97,69,3,37,16742
CHIP-S-01,84866,18289,3976,14313,3974,0.97,178,3,86,15665
CHIP-S-02,162670,47490,10876,36614,10876,0.97,261,3,152,41364
CHIP-S-03,81856,16045,1448,14597,1448,0.97,140,3,65,15079
CHIP-SO-01,62368,17184,2958,14226,2958,0.97,125,3,50,15394
CHIP-SO-02,153056,44006,7208,36798,7194,0.97,254,3,113,39736
CHIP-SO-03,99978,27785,4330,23455,4330,0.97,187,3,84,25203
CHIP-UN-01,109290,31394,6658,24736,6658,0.97,214,3,108,27534
CHIP-UN-02,136418,35914,4716,31198,4716,0.97,218,3,95,33125
CHIP-UN-03,120344,35917,8230,27687,8230,0.97,213,3,107,31254
DAN-M-01,86392,21569,2978,18591,2952,0.97,341,3,109,19673
DAN-M-02,169684,42785,6254,36531,6232,0.97,372,3,132,39025
DAN-M-03,83250,23346,3194,20152,3190,0.97,256,3,91,21420
DAN-S-01,94504,25330,5574,19756,5570,0.97,120,3,50,21963
DAN-S-02,168854,47878,9030,38848,9026,0.97,171,3,69,42622
DAN-S-03,100498,26863,5748,21115,5748,0.97,107,3,40,23449
DAN-SO-01,87116,25019,4670,20349,4670,0.97,137,3,43,22232
DAN-SO-02,189226,53640,10776,42864,10774,0.97,196,3,78,47395
DAN-SO-03,85352,22204,2840,19364,2840,0.97,110,3,46,20435
DAN-UN-01,87554,23182,5192,17990,5190,0.97,128,3,44,20004
DAN-UN-02,170856,48696,8952,39744,8952,0.97,213,3,78,43423
DAN-UN-03,96974,24561,4028,20533,4028,0.97,123,3,48,22058
Empty-P1-01,188,22,0,22,0,0.97,15,3,2,7
Empty-P1-02,142,19,0,19,0,0.97,15,3,2,6
Empty-P1-03,242,20,0,20,0,0.97,10,3,2,11
Empty-P1-04,48,8,0,8,0,0.97,7,3,0,0
Empty-P1-05,72,6,0,6,0,0.97,4,3,0,0
Empty-P1-06,94,10,0,10,0,0.97,7,3,1,3
Empty-P1-07,74,9,0,9,0,0.97,5,3,1,4
Empty-P1-08,54,5,0,5,0,0.97,4,3,0,0
Empty-P1-09,106,10,0,10,0,0.97,7,3,0,0
Empty-P2-01,188,15,0,15,0,0.97,9,3,1,4
Empty-P3-01,232,22,0,22,0,0.97,8,3,2,15
Empty-P4-01,136,8,0,8,0,0.97,5,3,1,3
ExtBlank-01,976,246,46,200,46,0.97,11,3,7,217
ExtBlank-02,194,33,10,23,10,0.97,7,3,4,25
ExtBlank-03,632,148,32,116,32,0.97,14,3,5,121
ExtBlank-04,596,155,24,131,24,0.97,17,3,6,128
ExtBlank-05,1322,398,148,250,148,0.97,12,3,5,304
ExtBlank-06,306,34,4,30,4,0.97,7,3,2,26
ExtBlank-07,664,186,54,132,54,0.97,8,3,4,152
ExtBlank-08,152,26,4,22,4,0.97,8,3,3,19
ExtBlank-09,236,44,6,38,6,0.97,15,3,3,22
ExtBlank-10,246,35,4,31,4,0.97,12,3,4,24
ExtBlank-11,96,23,2,21,2,0.97,10,3,2,13
ExtBlank-12,280,50,8,42,8,0.97,11,3,5,39
LDUN2-L-01,70362,20933,8356,12577,8356,0.97,89,3,10,15503
LDUN2-L-02,109356,28617,7510,21107,7510,0.97,93,3,18,24016
LDUN2-L-03,69318,20118,7572,12546,7572,0.97,88,3,16,15298
LDUN2-M-01,66452,13566,2572,10994,2572,0.97,111,3,47,11820
LDUN2-M-02,128966,31864,5288,26576,5288,0.97,158,3,73,28736
LDUN2-M-03,75018,15703,2990,12713,2990,0.97,117,3,44,13683
LDUN2-SO-01,76266,19718,4096,15622,4096,0.97,181,3,64,17188
LDUN2-SO-02,126000,36513,6258,30255,6258,0.97,228,3,108,32907
LDUN2-SO-03,93948,26979,6034,20945,6034,0.97,196,3,83,23415
LDUN2-UN-01,99590,29981,7768,22213,7764,0.97,234,3,91,25354
LDUN2-UN-02,126830,36336,7144,29192,7144,0.97,210,3,84,32092
LDUN2-UN-03,100954,31296,8324,22972,8324,0.97,229,3,84,26429
LDUN3-L-01,58242,12643,496,12147,496,0.97,56,3,21,12323
LDUN3-L-02,120050,32044,5378,26666,5374,0.97,102,3,36,29012
LDUN3-L-03,90018,19343,1866,17477,1866,0.97,71,3,24,18211
LDUN3-M-01,32732,3655,36,3619,36,0.97,55,3,22,3572
LDUN3-M-02,138260,34609,3552,31057,3548,0.97,191,3,62,32476
LDUN3-M-03,75234,13699,2382,11317,2382,0.97,127,3,37,12014
LDUN3-S-01,67450,14413,2880,11533,2880,0.97,186,3,75,12433
LDUN3-S-02,135550,37009,7468,29541,7468,0.97,291,3,130,32545
LDUN3-S-03,95312,18919,5142,13777,5142,0.97,194,3,81,15178
LDUN3-SO-01,86574,22794,4762,18032,4756,0.97,265,3,96,19893
LDUN3-SO-02,115954,31627,5614,26013,5612,0.97,290,3,101,28193
LDUN3-SO-03,119014,32744,8386,24358,8386,0.97,324,3,124,27704
LDUN3-UN-01,85928,22188,3764,18424,3764,0.97,199,3,59,19847
LDUN3-UN-02,124040,30806,3692,27114,3688,0.97,183,3,68,28582
LDUN3-UN-03,129668,34265,6494,27771,6494,0.97,237,3,86,30433
MC-ExtBlack-01,68,3,0,3,0,0.97,3,3,0,0
MC-ExtBlack-02,76,6,2,4,2,0.97,5,3,0,0
MC-ExtBlack-03,1038,289,88,201,88,0.97,6,3,2,235
MC-ExtBlack-04,1900,600,228,372,228,0.97,6,3,1,472
MC-ExtBlack-05,84,6,2,4,2,0.97,4,3,0,0
MC01-01,134664,40240,9870,30370,9870,0.97,211,3,108,34611
MC01-02,101224,30571,8010,22561,8008,0.97,151,3,74,25996
MC01-03,126182,33576,5568,28008,5568,0.97,148,3,74,30328
MC01-45-01,137176,43607,12560,31047,12558,0.97,190,3,96,36563
MC01-45-02,92812,29738,8588,21150,8586,0.97,174,3,79,24845
MC01-45-03,97192,30910,9670,21240,9664,0.97,176,3,75,25393
MC01-47-01,82906,24520,5864,18656,5860,0.97,114,3,63,21215
MC01-47-02,44278,12877,3202,9675,3202,0.97,100,3,47,11000
MC01-47-03,90134,26866,6416,20450,6416,0.97,150,3,76,23226
MC01-49-01,62176,18628,4576,14052,4576,0.97,121,3,55,15977
MC01-49-02,106278,32977,9094,23883,9090,0.97,144,3,76,27894
