sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
CAKE-01,44170,26379,19664,6715,13194,0.97,657,3,309,13769
CAKE-02,28062,18703,15124,3579,13956,0.97,153,3,109,9610
CAKE-03,44202,23397,15832,7565,13732,0.97,350,3,176,11263
CAKE-04,67858,42297,32966,9331,27582,0.97,453,3,200,21557
CAKE-05,48044,30279,23688,6591,19076,0.97,504,3,253,15723
CAKE-Blank,52440,38670,32078,6592,31934,0.97,34,3,26,20093
CHIP-01,88270,63822,51510,12312,50682,0.97,2160,3,668,35030
CHIP-02,57064,40509,33298,7211,30282,0.97,1918,3,591,20008
CHIP-03,79130,56345,45100,11245,43154,0.97,1950,3,656,30868
CHIP-04,50254,39271,34246,5025,34040,0.97,1210,3,377,20266
CHIP-05,63562,46295,37952,8343,36752,0.97,2305,3,689,24373
CHIP-Blank,188,137,128,9,128,0.97,1,3,1,71
Empty-P2-01,8,1,0,1,0,0.97,1,3,0,0
Empty-P2-02,4,1,0,1,0,0.97,1,3,0,0
Empty-P2-03,4,2,2,0,2,0.97,1,3,0,0
Empty-P2-04,4,1,0,1,0,0.97,1,3,0,0
Empty-P2-05,4,0,0,0,0,0.97,3,3,0,0
Empty-P2-06,4,0,0,0,0,0.97,2,3,0,0
Empty-P2-07,10,5,4,1,4,0.97,4,3,0,0
Empty-P2-08,6,3,2,1,2,0.97,0,3,0,0
Empty-P2-09,10,6,4,2,4,0.97,2,3,0,0
Empty-P2-10,4,2,2,0,2,0.97,2,3,0,0
Empty-P2-11,12,4,2,2,2,0.97,1,3,0,0
Empty-P2-12,10,2,0,2,0,0.97,1,3,0,0
Empty-P2-13,2,1,0,1,0,0.97,2,3,0,0
Empty-P2-14,2,0,0,0,0,0.97,1,3,0,0
Empty-P2-15,10,3,2,1,2,0.97,1,3,0,0
Empty-P2-16,4,3,2,1,2,0.97,1,3,0,0
Empty-P2-17,4,2,2,0,2,0.97,1,3,0,0
Empty-P2-18,6,2,2,0,2,0.97,1,3,0,0
Empty-P2-19,6,2,2,0,2,0.97,1,3,0,0
Empty-P2-20,6,1,0,1,0,0.97,1,3,0,0
Empty-P2-21,2,1,0,1,0,0.97,1,3,0,0
Empty-P2-22,8,1,0,1,0,0.97,4,3,0,0
Empty-P2-23,4,1,0,1,0,0.97,1,3,0,0
Empty-P2-24,6,0,0,0,0,0.97,1,3,0,0
Empty-P2-25,2,1,0,1,0,0.97,1,3,0,0
Empty-P2-26,10,5,2,3,2,0.97,1,3,0,0
Empty-P2-27,2,0,0,0,0,0.97,2,3,0,0
Empty-P2-28,0,0,0,0,0,0.97,1,3,0,0
Empty-P2-29,0,0,0,0,0,0.97,3,3,0,0
Empty-P2-30,4,2,2,0,2,0.97,2,3,0,0
Empty-P2-31,4,1,0,1,0,0.97,1,3,0,0
Empty-P2-32,0,0,0,0,0,0.97,2,3,0,0
Empty-P2-33,6,2,2,0,2,0.97,15,3,6,15752
Empty-P2-34,0,0,0,0,0,0.97,2,3,0,0
Empty-P2-35,2,2,2,0,2,0.97,3,3,0,0
Empty-P2-36,2,0,0,0,0,0.97,6,3,0,0
Empty-P2-37,2,0,0,0,0,0.97,2,3,0,0
Empty-P2-38,0,0,0,0,0,0.97,4,3,0,0
