SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
CAKE-L-01	COI	SRR7969535	SAMN10181701	PRJNA494857
CAKE-L-02	COI	SRR7969534	SAMN10181702	PRJNA494857
CAKE-L-03	COI	SRR7969537	SAMN10181703	PRJNA494857
CAKE-M-01	COI	SRR7969536	SAMN10181704	PRJNA494857
CAKE-M-02	COI	SRR7969531	SAMN10181705	PRJNA494857
CAKE-M-03	COI	SRR7969530	SAMN10181706	PRJNA494857
CAKE-S-01	COI	SRR7969533	SAMN10181707	PRJNA494857
CAKE-S-02	COI	SRR7969532	SAMN10181708	PRJNA494857
CAKE-S-03	COI	SRR7969539	SAMN10181709	PRJNA494857
CAKE-SO-01	COI	SRR7969538	SAMN10181710	PRJNA494857
CAKE-SO-02	COI	SRR7969757	SAMN10181711	PRJNA494857
CAKE-SO-03	COI	SRR7969756	SAMN10181712	PRJNA494857
CAKE-UN-01	COI	SRR7969755	SAMN10181713	PRJNA494857
CAKE-UN-02	COI	SRR7969754	SAMN10181714	PRJNA494857
CAKE-UN-03	COI	SRR7969753	SAMN10181715	PRJNA494857
CHIP-L-01	COI	SRR7969752	SAMN10181716	PRJNA494857
CHIP-L-02	COI	SRR7969751	SAMN10181717	PRJNA494857
CHIP-L-03	COI	SRR7969750	SAMN10181718	PRJNA494857
CHIP-M-01	COI	SRR7969759	SAMN10181719	PRJNA494857
CHIP-M-02	COI	SRR7969758	SAMN10181720	PRJNA494857
CHIP-M-03	COI	SRR7969698	SAMN10181721	PRJNA494857
CHIP-S-01	COI	SRR7969699	SAMN10181722	PRJNA494857
CHIP-S-02	COI	SRR7969696	SAMN10181723	PRJNA494857
CHIP-S-03	COI	SRR7969697	SAMN10181724	PRJNA494857
CHIP-SO-01	COI	SRR7969694	SAMN10181725	PRJNA494857
CHIP-SO-02	COI	SRR7969695	SAMN10181726	PRJNA494857
CHIP-SO-03	COI	SRR7969692	SAMN10181727	PRJNA494857
CHIP-UN-01	COI	SRR7969693	SAMN10181728	PRJNA494857
CHIP-UN-02	COI	SRR7969690	SAMN10181729	PRJNA494857
CHIP-UN-03	COI	SRR7969691	SAMN10181730	PRJNA494857
DAN-M-01	COI	SRR7969597	SAMN10181731	PRJNA494857
DAN-M-02	COI	SRR7969596	SAMN10181732	PRJNA494857
DAN-M-03	COI	SRR7969599	SAMN10181733	PRJNA494857
DAN-S-01	COI	SRR7969598	SAMN10181734	PRJNA494857
DAN-S-02	COI	SRR7969593	SAMN10181735	PRJNA494857
DAN-S-03	COI	SRR7969592	SAMN10181736	PRJNA494857
DAN-SO-01	COI	SRR7969595	SAMN10181737	PRJNA494857
DAN-SO-02	COI	SRR7969594	SAMN10181738	PRJNA494857
DAN-SO-03	COI	SRR7969591	SAMN10181739	PRJNA494857
DAN-UN-01	COI	SRR7969590	SAMN10181740	PRJNA494857
DAN-UN-02	COI	SRR7969521	SAMN10181741	PRJNA494857
DAN-UN-03	COI	SRR7969522	SAMN10181742	PRJNA494857
Empty-P1-01	COI	SRR7969523	SAMN10181743	PRJNA494857
Empty-P1-02	COI	SRR7969524	SAMN10181744	PRJNA494857
Empty-P1-03	COI	SRR7969517	SAMN10181745	PRJNA494857
Empty-P1-04	COI	SRR7969518	SAMN10181746	PRJNA494857
Empty-P1-05	COI	SRR7969519	SAMN10181747	PRJNA494857
Empty-P1-06	COI	SRR7969520	SAMN10181748	PRJNA494857
Empty-P1-07	COI	SRR7969636	SAMN10181749	PRJNA494857
Empty-P1-08	COI	SRR7969526	SAMN10181750	PRJNA494857
Empty-P1-09	COI	SRR7969424	SAMN10181751	PRJNA494857
Empty-P2-01	COI	SRR7969423	SAMN10181752	PRJNA494857
Empty-P3-01	COI	SRR7969422	SAMN10181753	PRJNA494857
Empty-P4-01	COI	SRR7969421	SAMN10181754	PRJNA494857
ExtBlank-01	COI	SRR7969428	SAMN10181755	PRJNA494857
ExtBlank-02	COI	SRR7969427	SAMN10181756	PRJNA494857
ExtBlank-03	COI	SRR7969426	SAMN10181757	PRJNA494857
ExtBlank-04	COI	SRR7969425	SAMN10181758	PRJNA494857
ExtBlank-05	COI	SRR7969420	SAMN10181759	PRJNA494857
ExtBlank-06	COI	SRR7969419	SAMN10181760	PRJNA494857
ExtBlank-07	COI	SRR7969732	SAMN10181761	PRJNA494857
ExtBlank-08	COI	SRR7969733	SAMN10181762	PRJNA494857
ExtBlank-09	COI	SRR7969730	SAMN10181763	PRJNA494857
ExtBlank-10	COI	SRR7969731	SAMN10181764	PRJNA494857
ExtBlank-11	COI	SRR7969736	SAMN10181765	PRJNA494857
ExtBlank-12	COI	SRR7969737	SAMN10181766	PRJNA494857
LDUN2-L-01	COI	SRR7969734	SAMN10181767	PRJNA494857
LDUN2-L-02	COI	SRR7969735	SAMN10181768	PRJNA494857
LDUN2-L-03	COI	SRR7969738	SAMN10181769	PRJNA494857
LDUN2-M-01	COI	SRR7969739	SAMN10181770	PRJNA494857
LDUN2-M-02	COI	SRR7969638	SAMN10181771	PRJNA494857
